Theta,Phi,Gain_RHCP,Gain_RHCP_Phase,Gain_LHCP,Gain_LHCP_Phase
-180,0,-11.64457711,90.86203714,-1.254302517,153.2519596
-179,0,-11.54453464,90.85597058,-1.213757711,153.1829337
-178,0,-11.46929591,90.96975845,-1.171107878,153.1528814
-177,0,-11.41824609,91.1897842,-1.126950403,153.1588592
-176,0,-11.39075653,91.49866625,-1.08210456,153.1968982
-175,0,-11.38626371,91.87608041,-1.037561969,153.2622188
-174,0,-11.40435518,92.29979652,-0.994428785,153.3494842
-173,0,-11.44484909,92.74691458,-0.953863145,153.4530718
-172,0,-11.50785621,93.19526797,-0.9170114,153.5673415
-171,0,-11.59381663,93.62494448,-0.8849465,153.6868846
-170,0,-11.7035086,94.01986711,-0.858611557,153.8067404
-169,0,-11.8380309,94.36937874,-0.838771106,153.9225739
-168,0,-11.99876399,94.66978864,-0.825972135,154.03081
-167,0,-12.1873152,94.92586307,-0.82051638,154.1287241
-166,0,-12.40545054,95.15226985,-0.822444951,154.2144914
-165,0,-12.65500795,95.37501468,-0.831535901,154.2871956
-164,0,-12.93777463,95.63292705,-0.84731493,154.3467998
-163,0,-13.25529299,95.9792572,-0.86907901,154.3940811
-162,0,-13.608534,96.48341002,-0.895932228,154.4305314
-161,0,-13.99734318,97.23272104,-0.926832668,154.4582247
-160,0,-14.41952238,98.33387406,-0.960648493,154.4796554
-159,0,-14.86937379,99.9128921,-0.996220813,154.4975518
-158,0,-15.33554324,102.111342,-1.032430233,154.5146736
-157,0,-15.79817744,105.0743062,-1.068263502,154.5336028
-156,0,-16.22598963,108.9234227,-1.102876285,154.5565436
-155,0,-16.57506304,113.7090159,-1.135648037,154.5851437
-154,0,-16.79276378,119.3461028,-1.166225258,154.620355
-153,0,-16.82983856,125.564743,-1.194550005,154.6623445
-152,0,-16.65839751,131.9273916,-1.220871575,154.7104656
-151,0,-16.28514634,137.9381402,-1.245740419,154.7632928
-150,0,-15.74917253,143.1884276,-1.269984711,154.818718
-149,0,-15.10613689,147.4454811,-1.294671223,154.8741004
-148,0,-14.41092184,150.6488522,-1.32105323,154.9264571
-147,0,-13.70755661,152.8534715,-1.350508896,154.9726811
-146,0,-13.02684808,154.1690962,-1.384474028,155.009771
-145,0,-12.38820595,154.7191613,-1.424373039,155.03506
-144,0,-11.80263311,154.6196962,-1.471551754,155.0464326
-143,0,-11.27542661,153.9714793,-1.527215117,155.0425219
-142,0,-10.80819403,152.8591188,-1.592372315,155.0228816
-141,0,-10.40023744,151.3531065,-1.667791123,154.9881295
-140,0,-10.04947229,149.5127845,-1.753962758,154.9400598
-139,0,-9.753037369,147.3892775,-1.851077955,154.8817194
-138,0,-9.507709696,145.0280064,-1.959014659,154.8174442
-137,0,-9.310197993,142.470661,-2.07733734,154.7528487
-136,0,-9.15735763,139.7566176,-2.205307731,154.6947585
-135,0,-9.046348744,136.9238383,-2.341906561,154.6510779
-134,0,-8.974745586,134.0093156,-2.485865619,154.6305815
-133,0,-8.940597524,131.0491449,-2.635709331,154.6426244
-132,0,-8.942439232,128.0783228,-2.789804807,154.6967688
-131,0,-8.979248231,125.1303801,-2.94641917,154.8023335
-130,0,-9.050350689,122.2369499,-3.103782831,154.9678829
-129,0,-9.155279974,119.4273576,-3.260157177,155.2006831
-128,0,-9.293595592,116.7282867,-3.413904913,155.5061645
-127,0,-9.464672182,114.1635352,-3.56356085,155.8874373
-126,0,-9.66746924,111.7538392,-3.707900358,156.3449106
-125,0,-9.90029282,109.5167,-3.846001897,156.8760637
-124,0,-10.16056175,107.4661285,-3.977299299,157.4754051
-123,0,-10.44459406,105.6122049,-4.101618931,158.1346396
-122,0,-10.74743524,103.9603632,-4.219196984,158.8430385
-121,0,-11.06275836,102.5103503,-4.330673014,159.5879863
-120,0,-11.38287504,101.254888,-4.437057706,160.3556556
-119,0,-11.69890157,100.1782022,-4.539675317,161.13175
-118,0,-12.00111891,99.25474412,-4.640084059,161.9022511
-117,0,-12.27954166,98.44859277,-4.739980167,162.6541129
-116,0,-12.52466624,97.71409181,-4.841093115,163.3758621
-115,0,-12.7283096,96.9981452,-4.945080171,164.0580802
-114,0,-12.88439855,96.24422161,-5.053428105,164.6937608
-113,0,-12.98955403,95.39757031,-5.167368742,165.2785499
-112,0,-13.04335193,94.41065306,-5.287813416,165.8108828
-111,0,-13.0482232,93.24760569,-5.415309596,166.292035
-110,0,-13.00904532,91.88678582,-5.550021276,166.7260967
-109,0,-12.93253746,90.32103553,-5.691733231,167.119878
-108,0,-12.82658404,88.55592031,-5.839877884,167.4827387
-107,0,-12.69958582,86.6066446,-5.993582405,167.8263345
-106,0,-12.5598974,84.49447922,-6.151732579,168.1642649
-105,0,-12.41537401,82.24341326,-6.313049055,168.5116111
-104,0,-12.2730274,79.87748791,-6.476170956,168.8843607
-103,0,-12.1387796,77.41900278,-6.639741504,169.2987265
-102,0,-12.0172995,74.88758068,-6.802490585,169.7703857
-101,0,-11.91190772,72.29995697,-6.963309894,170.3136789
-100,0,-11.82453701,69.67031167,-7.121317476,170.9408281
-99,0,-11.75573909,67.01096263,-7.275909733,171.6612357
-98,0,-11.70473237,64.33325817,-7.426800027,172.48093
-97,0,-11.66948894,61.64853075,-7.574043582,173.4022119
-96,0,-11.64686284,58.9689879,-7.718048384,174.4235397
-95,0,-11.63276242,56.30842285,-7.859571336,175.5396643
-94,0,-11.62236953,53.68262923,-7.999698411,176.7420013
-93,0,-11.61040354,51.10941387,-8.139807304,178.0192009
-92,0,-11.59142242,48.60812992,-8.281511476,179.3578583
-91,0,-11.560145,46.19870934,-8.426585491,-179.2567012
-90,0,-11.51177178,43.90025872,-8.576873077,-177.8396296
-89,0,-11.44227787,41.72938109,-8.734180953,-176.4058121
-88,0,-11.34865258,39.69847305,-8.900162903,-174.969211
-87,0,-11.22906542,37.81428909,-9.076199458,-173.5423171
-86,0,-11.08294661,36.07704162,-9.263279031,-172.1357094
-85,0,-10.91097912,34.48021324,-9.461886357,-170.7577094
-84,0,-10.71500754,33.01112011,-9.671904141,-169.4141053
-83,0,-10.49787517,31.65212093,-9.892533931,-168.1079252
-82,0,-10.26320613,30.382256,-10.12224276,-166.8392392
-81,0,-10.01515249,29.17905078,-10.35874276,-165.604988
-80,0,-9.758128685,28.02023396,-10.59901162,-164.3988539
-79,0,-9.49655445,26.88518386,-10.8393617,-163.2112096
-78,0,-9.234624965,25.7560032,-11.07556412,-162.0292035
-77,0,-8.976121206,24.6182037,-11.30303071,-160.8370485
-76,0,-8.724267725,23.46104226,-11.51705077,-159.6165796
-75,0,-8.481639105,22.27758185,-11.71307164,-158.3481165
-74,0,-8.250111931,21.06455775,-11.88700372,-157.0116157
-73,0,-8.030856303,19.82211899,-12.03552281,-155.5880278
-72,0,-7.824359754,18.55349589,-12.15633914,-154.0607016
-71,0,-7.6304765,17.26462411,-12.24840336,-152.4166356
-70,0,-7.448495666,15.96373761,-12.31202616,-150.647369
-69,0,-7.277223173,14.66093063,-12.34889892,-148.7493622
-68,0,-7.115072967,13.36768282,-12.36201484,-146.7238104
-67,0,-6.960164117,12.09634166,-12.35550245,-144.5759466
-66,0,-6.810420925,10.85956207,-12.33439221,-142.3139819
-65,0,-6.663673656,9.669712318,-12.30434276,-139.9478849
-64,0,-6.517757765,8.538267277,-12.27135414,-137.4881979
-63,0,-6.370609646,7.475221744,-12.24149264,-134.9450484
-62,0,-6.22035687,6.488565284,-12.22064563,-132.3274508
-61,0,-6.065400653,5.583864195,-12.21431817,-129.6429341
-60,0,-5.90448788,4.763993194,-12.2274753,-126.8974813
-59,0,-5.736769558,4.029048905,-12.26442902,-124.0957428
-58,0,-5.561842246,3.376459965,-12.32876441,-121.2414764
-57,0,-5.379769167,2.801286859,-12.42329845,-118.3381717
-56,0,-5.191078369,2.296682214,-12.55006454,-115.3898292
-55,0,-4.996736818,1.854463385,-12.71031739,-112.4018729
-54,0,-4.798101169,1.465737397,-12.90455446,-109.3821839
-53,0,-4.596848201,1.121515815,-13.13255188,-106.3422417
-52,0,-4.394889748,0.813263808,-13.39341324,-103.2983493
-51,0,-4.19427823,0.53334153,-13.68562871,-100.272902
-50,0,-3.997109296,0.275313551,-14.00713842,-97.29563407
-49,0,-3.805427606,0.03411979,-14.35538747,-94.40474449
-48,0,-3.62114068,-0.193883752,-14.72735024,-91.64777344
-47,0,-3.445944272,-0.410995856,-15.11949041,-89.08205923
-46,0,-3.281261255,-0.618328556,-15.52761205,-86.77455786
-45,0,-3.128194767,-0.816028007,-15.94655252,-84.80072285
-44,0,-2.987495462,-1.003534277,-16.36967799,-83.24200032
-43,0,-2.859542272,-1.179859816,-16.78818139,-82.18127642
-42,0,-2.744335927,-1.343869866,-17.19026928,-81.6953799
-41,0,-2.641504616,-1.494551077,-17.56047815,-81.84372147
-40,0,-2.550321371,-1.631256578,-17.87956981,-82.65284285
-39,0,-2.469733007,-1.75391671,-18.12562567,-84.09871292
-38,0,-2.398400485,-1.863204824,-18.27685195,-86.09214826
-37,0,-2.334750452,-1.960647458,-18.31594377,-88.47594394
-36,0,-2.277037287,-2.048668614,-18.23470927,-91.04110664
-35,0,-2.223414307,-2.130559391,-18.03684218,-93.56122538
-34,0,-2.172011883,-2.210367603,-17.7372982,-95.83282597
-33,0,-2.121019288,-2.292707485,-17.35857134,-97.7054437
-32,0,-2.068766166,-2.382496993,-16.92575113,-99.09229485
-31,0,-2.01379896,-2.484638775,-16.46234545,-99.96374757
-30,0,-1.954947436,-2.603669192,-15.98782891,-100.3320966
-29,0,-1.891376859,-2.743406201,-15.51682832,-100.2355494
-28,0,-1.822622243,-2.906629777,-15.05937725,-99.72561636
-27,0,-1.748602466,-3.094826871,-14.62167501,-98.85883844
-26,0,-1.669613565,-3.308026488,-14.2069758,-97.69211808
-25,0,-1.586302127,-3.544740353,-13.81641921,-96.28047386
-24,0,-1.499621031,-3.802012526,-13.44973141,-94.67617598
-23,0,-1.410770853,-4.075569449,-13.1057859,-92.92852183
-22,0,-1.321130889,-4.360052278,-12.78303461,-91.08379482
-21,0,-1.232183982,-4.649307287,-12.47982553,-89.1851663
-20,0,-1.145439283,-4.936708143,-12.19462133,-87.2724504
-19,0,-1.062356706,-5.215485485,-11.92613254,-85.38171839
-18,0,-0.984276392,-5.479043507,-11.67337835,-83.54483343
-17,0,-0.912355881,-5.721248845,-11.43568942,-81.78898763
-16,0,-0.847517176,-5.936682658,-11.21266865,-80.13631978
