Theta,Phi,Gain_RHCP,Gain_RHCP_Phase,Gain_LHCP,Gain_LHCP_Phase
-142,119,-14.35335808,116.1283559,-3.420078943,21.37714992
-141,119,-15.0159019,114.498551,-3.492747685,22.23618516
-140,119,-15.79920744,113.3597132,-3.56166663,23.08830242
-139,119,-16.7225042,112.8811159,-3.6273701,23.9258991
-138,119,-17.80640688,113.3247434,-3.690422028,24.74247803
-137,119,-19.06890864,115.110586,-3.751377215,25.53289678
-136,119,-20.51179145,118.9216238,-3.810745131,26.29354121
-135,119,-22.08037572,125.8231609,-3.868958882,27.02241962
-134,119,-23.56690119,137.1379429,-3.926351432,27.71917788
-133,119,-24.50128035,153.1959383,-3.983140398,28.38503913
-132,119,-24.39357164,170.9839798,-4.039422002,29.02267367
-131,119,-23.35634855,-174.3079863,-4.095174005,29.63600589
-130,119,-21.93673801,-164.4883601,-4.150266814,30.22996656
-129,119,-20.51875598,-158.6574274,-4.204481477,30.81019994
-128,119,-19.24587086,-155.4992234,-4.25753296,31.38273699
-127,119,-18.14641341,-154.0542993,-4.309096925,31.95364818
-126,119,-17.20996595,-153.7091343,-4.35883824,32.5286914
-125,119,-16.41651828,-154.0722814,-4.406439532,33.11297259
-124,119,-15.74594137,-154.8835961,-4.451628252,33.71063783
-123,119,-15.18059237,-155.9603219,-4.49420091,34.32461534
-122,119,-14.70565937,-157.1664653,-4.534043319,34.95642437
-121,119,-14.30880186,-158.3954911,-4.5711458,35.60606436
-120,119,-13.97959834,-159.5605675,-4.605612471,36.27199268
-119,119,-13.70896385,-160.5891935,-4.637663853,36.95119347
-118,119,-13.48859001,-161.4204892,-4.667632256,37.63933316
-117,119,-13.31043369,-162.004231,-4.695949689,38.33099222
-116,119,-13.16628316,-162.3011485,-4.723128464,39.0199576
-115,119,-13.04744387,-162.2842019,-4.749735171,39.69955654
-114,119,-12.94459931,-161.9405873,-4.776359266,40.36301128
