Theta,Phi,Gain_RHCP,Gain_RHCP_Phase,Gain_LHCP,Gain_LHCP_Phase
-180,0,-13.55693878,52.30185449,-0.661933035,66.35069743
-179,0,-13.48328203,51.99380965,-0.625640347,66.33828632
-178,0,-13.4047997,51.95011649,-0.585565649,66.34555778
-177,0,-13.32465766,52.1566003,-0.542537272,66.37155915
-176,0,-13.24659091,52.59356685,-0.4977056,66.41493595
-175,0,-13.1747306,53.23825827,-0.452471864,66.47400133
-174,0,-13.11340778,54.06753268,-0.408405522,66.54682885
-173,0,-13.06692578,55.06045566,-0.367155951,66.63135842
-172,0,-13.03929705,56.20056207,-0.330363925,66.72550549
-171,0,-13.03394339,57.47762878,-0.299577562,66.82726469
-170,0,-13.05336051,58.88886526,-0.276176483,66.93480174
-169,0,-13.09874651,60.43945707,-0.261306853,67.04652918
-168,0,-13.16959408,62.14237248,-0.255829057,67.1611637
-167,0,-13.26325047,64.01726325,-0.260279032,67.27776439
-166,0,-13.3744657,66.08817365,-0.274843789,67.39575161
-165,0,-13.49498436,68.37966724,-0.299351369,67.51490717
-164,0,-13.61329522,70.91099452,-0.333275358,67.63535568
-163,0,-13.71472894,73.68822955,-0.375754011,67.75752752
-162,0,-13.78215448,76.69509825,-0.425623965,67.8821032
-161,0,-13.79749587,79.88453497,-0.481468233,68.00993967
-160,0,-13.74408417,83.17436383,-0.541677792,68.14197971
-159,0,-13.60945618,86.45075466,-0.60452532,68.2791472
-158,0,-13.38778979,89.58103494,-0.668248764,68.42223279
-157,0,-13.08107069,92.43328979,-0.731141273,68.57177696
-156,0,-12.6985296,94.89645124,-0.791642984,68.7279593
-155,0,-12.25464741,96.89421532,-0.848429155,68.89050438
-154,0,-11.76656697,98.38946055,-0.900488673,69.05861434
-153,0,-11.25176121,99.38020836,-0.947187006,69.2309373
-152,0,-10.72642894,99.89074083,-0.988308444,69.4055772
-151,0,-10.20467051,99.96159611,-1.024073986,69.58014663
-150,0,-9.698253551,99.64086522,-1.055133178,69.75185945
-149,0,-9.216725122,98.97777421,-1.082530538,69.9176556
-148,0,-8.767676237,98.01856931,-1.10764934,70.07434762
-147,0,-8.357039421,96.80427845,-1.132137324,70.21877738
-146,0,-7.989360594,95.3698216,-1.157820026,70.34797196
-145,0,-7.668024558,93.7440065,-1.18660782,70.45929028
-144,0,-7.395432795,91.95006017,-1.220402493,70.55055499
-143,0,-7.173140331,90.00645744,-1.261008367,70.62016742
-142,0,-7.001960589,87.92789624,-1.310051898,70.66720593
-141,0,-6.882046959,85.72633197,-1.36891251,70.69150972
-140,0,-6.812958898,83.41202438,-1.438666395,70.69375034
-139,0,-6.793719513,80.99457348,-1.520044171,70.6754923
-138,0,-6.822870848,78.4839306,-1.613402729,70.63924217
-137,0,-6.898532327,75.89136955,-1.71871131,70.58848305
-136,0,-7.018466623,73.23039467,-1.835551697,70.52768793
-135,0,-7.180155327,70.51754876,-1.963132395,70.4623027
-134,0,-7.380883863,67.77306999,-2.100316609,70.39868719
-133,0,-7.617831084,65.02133465,-2.245663731,70.34400148
-132,0,-7.88815423,62.29101855,-2.397483733,70.30602568
-131,0,-8.189055278,59.6149147,-2.553903467,70.29290487
-130,0,-8.51781131,57.0293605,-2.712943206,70.31281727
-129,0,-8.871751068,54.57324753,-2.872601101,70.37357291
-128,0,-9.248163505,52.28660524,-3.03094241,70.48216135
-127,0,-9.644132956,50.20875573,-3.186189659,70.64427874
-126,0,-10.05630967,48.37602739,-3.336809319,70.86387448
-125,0,-10.48064339,46.81899881,-3.48159013,71.14276359
-124,0,-10.91212993,45.55924553,-3.619708139,71.48035036
-123,0,-11.34464347,44.60562451,-3.7507737,71.87350088
-122,0,-11.77094259,43.95029917,-3.87485634,72.31658716
-121,0,-12.18293487,43.56500301,-3.992484554,72.80170571
-120,0,-12.57224582,43.39840486,-4.104619167,73.31905277
-119,0,-12.93105392,43.37570148,-4.212600927,73.85742034
-118,0,-13.25303693,43.4014661,-4.318075079,74.4047658
-117,0,-13.53417455,43.36613612,-4.422897659,74.94880473
-116,0,-13.77313714,43.15544609,-4.529029721,75.47758195
-115,0,-13.9711002,42.66109196,-4.638426495,75.97998702
-114,0,-14.13102494,41.79053772,-4.75292852,76.44619513
-113,0,-14.25663695,40.47436173,-4.874161214,76.86802826
-112,0,-14.3514253,38.67053286,-5.003448285,77.23924269
-111,0,-14.41794741,36.3658811,-5.141743267,77.55575511
-110,0,-14.4576022,33.57537052,-5.289582268,77.81582019
-109,0,-14.47088501,30.33962077,-5.447060097,78.0201686
-108,0,-14.45800444,26.72079711,-5.613831068,78.17210645
-107,0,-14.41964773,22.79686591,-5.789134957,78.27756698
-106,0,-14.35764668,18.65446174,-5.971847637,78.34509528
-105,0,-14.27533561,14.38110484,-6.160554653,78.3857386
-104,0,-14.17749839,10.05791547,-6.353644442,78.41281171
-103,0,-14.0699356,5.753990666,-6.549416113,78.44150995
-102,0,-13.95878789,1.523188666,-6.746194992,78.48835416
-101,0,-13.84979135,-2.596576159,-6.942447978,78.57047108
-100,0,-13.74761479,-6.581981535,-7.136890413,78.7047376
-99,0,-13.65536874,-10.4216216,-7.328577076,78.90684282
-98,0,-13.57431578,-14.11273864,-7.516971818,79.19034346
-97,0,-13.50377335,-17.65792625,-7.701993031,79.56579924
-96,0,-13.44118425,-21.0621644,-7.88403476,80.04007302
-95,0,-13.38233142,-24.33038853,-8.063965344,80.6158645
-94,0,-13.32167873,-27.46570552,-8.243106495,81.29151954
-93,0,-13.25282205,-30.46833122,-8.423195674,82.06112409
-92,0,-13.16902888,-33.33530114,-8.606333871,82.91485921
-91,0,-13.06383079,-36.06096096,-8.794919926,83.83956628
-90,0,-12.93161567,-38.6381549,-8.991571813,84.8194547
-89,0,-12.76815391,-41.0599068,-9.199035118,85.83687864
-88,0,-12.57099179,-43.32126852,-9.420079266,86.87311575
-87,0,-12.33966073,-45.42095035,-9.657382642,87.90909675
-86,0,-12.07568031,-47.36238935,-9.913408384,88.92605674
-85,0,-11.78236718,-49.15405335,-10.19027314,89.90610449
-84,0,-11.46449216,-50.80897368,-10.48961152,90.83273019
-83,0,-11.1278452,-52.34367644,-10.81243945,91.69129342
-82,0,-10.77877088,-53.77678421,-11.15902091,92.46954824
-81,0,-10.4237282,-55.12756972,-11.52874461,93.15826959
-80,0,-10.06891201,-56.41467981,-11.92002046,93.75204098
-79,0,-9.719956125,-57.65515292,-12.33021069,94.25024299
-78,0,-9.381722719,-58.8637624,-12.75561552,94.65824009
-77,0,-9.058171499,-60.05265342,-13.19153761,94.98869428
-76,0,-8.752296481,-61.23120836,-13.63244976,95.26284043
