Freq,S11_MAG,S11_PHASE,S21_MAG,S21_PHASE,S12_MAG,S12_PHASE,22_MAG,S22_PHASE
100000000,-0.24511811,-104.68745,-200,45,-200,45,-200,45
100062500,-0.24445643,-104.75744,-200,45,-200,45,-200,45
100125000,-0.24602006,-104.83012,-200,45,-200,45,-200,45
100187500,-0.24635614,-104.8783,-200,45,-200,45,-200,45
100250000,-0.24525818,-104.93703,-200,45,-200,45,-200,45
100312500,-0.24640101,-105.00984,-200,45,-200,45,-200,45
100375000,-0.24975981,-105.06474,-200,45,-200,45,-200,45
100437500,-0.24816132,-105.13359,-200,45,-200,45,-200,45
100500000,-0.25045583,-105.19339,-200,45,-200,45,-200,45
100562500,-0.25111115,-105.26245,-200,45,-200,45,-200,45
100625000,-0.25019515,-105.32305,-200,45,-200,45,-200,45
100687500,-0.25013337,-105.3967,-200,45,-200,45,-200,45
100750000,-0.25270253,-105.45059,-200,45,-200,45,-200,45
100812500,-0.25249672,-105.52979,-200,45,-200,45,-200,45
100875000,-0.25315154,-105.57826,-200,45,-200,45,-200,45
100937500,-0.2517131,-105.6412,-200,45,-200,45,-200,45
101000000,-0.25180325,-105.71496,-200,45,-200,45,-200,45
101062500,-0.25400922,-105.76487,-200,45,-200,45,-200,45
101125000,-0.25162947,-105.83447,-200,45,-200,45,-200,45
101187500,-0.25546816,-105.89753,-200,45,-200,45,-200,45
101250000,-0.25534344,-105.96064,-200,45,-200,45,-200,45
101312500,-0.2557855,-106.02068,-200,45,-200,45,-200,45
101375000,-0.25639018,-106.08644,-200,45,-200,45,-200,45
101437500,-0.25627968,-106.14439,-200,45,-200,45,-200,45
101500000,-0.25936657,-106.22146,-200,45,-200,45,-200,45
101562500,-0.25718018,-106.27916,-200,45,-200,45,-200,45
101625000,-0.25750256,-106.34295,-200,45,-200,45,-200,45
101687500,-0.26017988,-106.40619,-200,45,-200,45,-200,45
101750000,-0.25886998,-106.46982,-200,45,-200,45,-200,45
101812500,-0.26122731,-106.53188,-200,45,-200,45,-200,45
101875000,-0.26181835,-106.60058,-200,45,-200,45,-200,45
101937500,-0.26253578,-106.65577,-200,45,-200,45,-200,45
102000000,-0.26190299,-106.73989,-200,45,-200,45,-200,45
102062500,-0.26282692,-106.78662,-200,45,-200,45,-200,45
102125000,-0.26385731,-106.84718,-200,45,-200,45,-200,45
102187500,-0.26336741,-106.91348,-200,45,-200,45,-200,45
102250000,-0.26463455,-106.96777,-200,45,-200,45,-200,45
102312500,-0.26766515,-107.03847,-200,45,-200,45,-200,45
102375000,-0.266462,-107.09473,-200,45,-200,45,-200,45
102437500,-0.26584601,-107.16015,-200,45,-200,45,-200,45
102500000,-0.26827785,-107.23923,-200,45,-200,45,-200,45
102562500,-0.26831141,-107.2913,-200,45,-200,45,-200,45
102625000,-0.26873526,-107.36581,-200,45,-200,45,-200,45
102687500,-0.26982486,-107.41167,-200,45,-200,45,-200,45
102750000,-0.26991215,-107.48465,-200,45,-200,45,-200,45
102812500,-0.27029681,-107.55264,-200,45,-200,45,-200,45
102875000,-0.2705099,-107.62057,-200,45,-200,45,-200,45
102937500,-0.27140209,-107.68457,-200,45,-200,45,-200,45
103000000,-0.273384,-107.73896,-200,45,-200,45,-200,45
103062500,-0.27516773,-107.80309,-200,45,-200,45,-200,45
103125000,-0.27458778,-107.87344,-200,45,-200,45,-200,45
103187500,-0.275152,-107.93681,-200,45,-200,45,-200,45
103250000,-0.27463669,-107.98032,-200,45,-200,45,-200,45
103312500,-0.27691945,-108.06211,-200,45,-200,45,-200,45
103375000,-0.27676502,-108.12341,-200,45,-200,45,-200,45
103437500,-0.27536881,-108.19719,-200,45,-200,45,-200,45
103500000,-0.27890781,-108.25786,-200,45,-200,45,-200,45
103562500,-0.2779305,-108.31312,-200,45,-200,45,-200,45
103625000,-0.27985483,-108.38022,-200,45,-200,45,-200,45
103687500,-0.27964437,-108.44083,-200,45,-200,45,-200,45
103750000,-0.27958074,-108.50612,-200,45,-200,45,-200,45
103812500,-0.28015015,-108.58383,-200,45,-200,45,-200,45
103875000,-0.28274083,-108.63714,-200,45,-200,45,-200,45
103937500,-0.28189269,-108.69283,-200,45,-200,45,-200,45
104000000,-0.28439355,-108.76036,-200,45,-200,45,-200,45
104062500,-0.28596106,-108.83017,-200,45,-200,45,-200,45
104125000,-0.28439954,-108.89355,-200,45,-200,45,-200,45
104187500,-0.28491706,-108.96088,-200,45,-200,45,-200,45
104250000,-0.28610274,-109.0115,-200,45,-200,45,-200,45
104312500,-0.28647581,-109.08113,-200,45,-200,45,-200,45
104375000,-0.28639558,-109.14993,-200,45,-200,45,-200,45
104437500,-0.28866768,-109.21384,-200,45,-200,45,-200,45
104500000,-0.28780583,-109.27386,-200,45,-200,45,-200,45
104562500,-0.28843611,-109.32766,-200,45,-200,45,-200,45
104625000,-0.28841904,-109.40488,-200,45,-200,45,-200,45
104687500,-0.29095051,-109.46124,-200,45,-200,45,-200,45
104750000,-0.29092559,-109.53978,-200,45,-200,45,-200,45
104812500,-0.29156241,-109.5971,-200,45,-200,45,-200,45
104875000,-0.29320568,-109.6661,-200,45,-200,45,-200,45
104937500,-0.2929464,-109.7215,-200,45,-200,45,-200,45
105000000,-0.29533392,-109.78073,-200,45,-200,45,-200,45
105062500,-0.29533595,-109.84787,-200,45,-200,45,-200,45
105125000,-0.29598087,-109.90705,-200,45,-200,45,-200,45
105187500,-0.29498926,-109.97131,-200,45,-200,45,-200,45
105250000,-0.29953352,-110.0496,-200,45,-200,45,-200,45
105312500,-0.30004263,-110.11308,-200,45,-200,45,-200,45
105375000,-0.29891333,-110.18211,-200,45,-200,45,-200,45
105437500,-0.29905728,-110.23631,-200,45,-200,45,-200,45
105500000,-0.29986945,-110.30126,-200,45,-200,45,-200,45
105562500,-0.30117947,-110.36256,-200,45,-200,45,-200,45
105625000,-0.3010737,-110.42726,-200,45,-200,45,-200,45
105687500,-0.30286911,-110.48699,-200,45,-200,45,-200,45
105750000,-0.30264604,-110.55049,-200,45,-200,45,-200,45
105812500,-0.30428943,-110.618,-200,45,-200,45,-200,45
105875000,-0.30335012,-110.67982,-200,45,-200,45,-200,45
105937500,-0.30355787,-110.74667,-200,45,-200,45,-200,45
106000000,-0.30426872,-110.79659,-200,45,-200,45,-200,45
106062500,-0.30668977,-110.87681,-200,45,-200,45,-200,45
106125000,-0.30607343,-110.95023,-200,45,-200,45,-200,45
106187500,-0.30708551,-110.99698,-200,45,-200,45,-200,45
106250000,-0.30773139,-111.05631,-200,45,-200,45,-200,45
106312500,-0.3091009,-111.1252,-200,45,-200,45,-200,45
106375000,-0.30832312,-111.19355,-200,45,-200,45,-200,45
106437500,-0.3094435,-111.25407,-200,45,-200,45,-200,45
106500000,-0.30778188,-111.32378,-200,45,-200,45,-200,45
106562500,-0.31183559,-111.394,-200,45,-200,45,-200,45
106625000,-0.30893427,-111.45583,-200,45,-200,45,-200,45
106687500,-0.31080395,-111.53522,-200,45,-200,45,-200,45
106750000,-0.31157514,-111.58233,-200,45,-200,45,-200,45
106812500,-0.31265053,-111.64951,-200,45,-200,45,-200,45
106875000,-0.31518668,-111.72458,-200,45,-200,45,-200,45
106937500,-0.31306466,-111.78214,-200,45,-200,45,-200,45
107000000,-0.31395817,-111.83777,-200,45,-200,45,-200,45
107062500,-0.31616998,-111.90604,-200,45,-200,45,-200,45
107125000,-0.31622955,-111.98389,-200,45,-200,45,-200,45
107187500,-0.31436995,-112.04467,-200,45,-200,45,-200,45
107250000,-0.31748694,-112.12396,-200,45,-200,45,-200,45
107312500,-0.31815267,-112.17084,-200,45,-200,45,-200,45
107375000,-0.31860813,-112.24467,-200,45,-200,45,-200,45
107437500,-0.31838539,-112.29955,-200,45,-200,45,-200,45
107500000,-0.31945989,-112.36267,-200,45,-200,45,-200,45
107562500,-0.32035077,-112.4361,-200,45,-200,45,-200,45
107625000,-0.32219073,-112.5074,-200,45,-200,45,-200,45
107687500,-0.32167283,-112.56277,-200,45,-200,45,-200,45
107750000,-0.32389885,-112.63348,-200,45,-200,45,-200,45
107812500,-0.32460389,-112.70065,-200,45,-200,45,-200,45
107875000,-0.32424292,-112.77387,-200,45,-200,45,-200,45
107937500,-0.32364857,-112.85002,-200,45,-200,45,-200,45
108000000,-0.32570311,-112.89833,-200,45,-200,45,-200,45
108062500,-0.32583201,-112.96838,-200,45,-200,45,-200,45
108125000,-0.327297,-113.04049,-200,45,-200,45,-200,45
108187500,-0.32752892,-113.09552,-200,45,-200,45,-200,45
108250000,-0.3296513,-113.17175,-200,45,-200,45,-200,45
108312500,-0.32684365,-113.23261,-200,45,-200,45,-200,45
108375000,-0.32928026,-113.30913,-200,45,-200,45,-200,45
108437500,-0.33059296,-113.36749,-200,45,-200,45,-200,45
108500000,-0.32937887,-113.43597,-200,45,-200,45,-200,45
108562500,-0.33089238,-113.51442,-200,45,-200,45,-200,45
108625000,-0.33178774,-113.57343,-200,45,-200,45,-200,45
108687500,-0.33276129,-113.63184,-200,45,-200,45,-200,45
108750000,-0.33204427,-113.71536,-200,45,-200,45,-200,45
108812500,-0.33377942,-113.78045,-200,45,-200,45,-200,45
108875000,-0.33538577,-113.85321,-200,45,-200,45,-200,45
108937500,-0.33543926,-113.91354,-200,45,-200,45,-200,45
109000000,-0.33659953,-113.9876,-200,45,-200,45,-200,45
109062500,-0.33803126,-114.04745,-200,45,-200,45,-200,45
109125000,-0.33714241,-114.10929,-200,45,-200,45,-200,45
109187500,-0.33946192,-114.18957,-200,45,-200,45,-200,45
109250000,-0.3395412,-114.24992,-200,45,-200,45,-200,45
109312500,-0.34178981,-114.31789,-200,45,-200,45,-200,45
109375000,-0.34241712,-114.39473,-200,45,-200,45,-200,45
109437500,-0.34232214,-114.45119,-200,45,-200,45,-200,45
109500000,-0.34329754,-114.51884,-200,45,-200,45,-200,45
109562500,-0.34355718,-114.59336,-200,45,-200,45,-200,45
109625000,-0.34566012,-114.6659,-200,45,-200,45,-200,45
109687500,-0.34675309,-114.72495,-200,45,-200,45,-200,45
109750000,-0.3485854,-114.80652,-200,45,-200,45,-200,45
109812500,-0.34715766,-114.85195,-200,45,-200,45,-200,45
109875000,-0.34984165,-114.93073,-200,45,-200,45,-200,45
109937500,-0.34984115,-115.00062,-200,45,-200,45,-200,45
110000000,-0.35138592,-115.05838,-200,45,-200,45,-200,45
110062500,-0.35414046,-115.13199,-200,45,-200,45,-200,45
110125000,-0.35333583,-115.19762,-200,45,-200,45,-200,45
110187500,-0.35463494,-115.26279,-200,45,-200,45,-200,45
110250000,-0.35462138,-115.33059,-200,45,-200,45,-200,45
110312500,-0.35464492,-115.39684,-200,45,-200,45,-200,45
110375000,-0.35691983,-115.4621,-200,45,-200,45,-200,45
110437500,-0.35809118,-115.5273,-200,45,-200,45,-200,45
110500000,-0.35942608,-115.60712,-200,45,-200,45,-200,45
110562500,-0.3600437,-115.67469,-200,45,-200,45,-200,45
110625000,-0.36028039,-115.74115,-200,45,-200,45,-200,45
110687500,-0.36125457,-115.81889,-200,45,-200,45,-200,45
110750000,-0.36302957,-115.87251,-200,45,-200,45,-200,45
110812500,-0.36435241,-115.94711,-200,45,-200,45,-200,45
110875000,-0.36294821,-116.01386,-200,45,-200,45,-200,45
110937500,-0.36548564,-116.0668,-200,45,-200,45,-200,45
111000000,-0.36622158,-116.1519,-200,45,-200,45,-200,45
111062500,-0.36603135,-116.22857,-200,45,-200,45,-200,45
111125000,-0.3688072,-116.28606,-200,45,-200,45,-200,45
111187500,-0.36853948,-116.36375,-200,45,-200,45,-200,45
111250000,-0.36940762,-116.42937,-200,45,-200,45,-200,45
111312500,-0.37149584,-116.50064,-200,45,-200,45,-200,45
111375000,-0.3712551,-116.56866,-200,45,-200,45,-200,45
111437500,-0.37228155,-116.6396,-200,45,-200,45,-200,45
111500000,-0.37380373,-116.70739,-200,45,-200,45,-200,45
111562500,-0.37341547,-116.77147,-200,45,-200,45,-200,45
111625000,-0.37699467,-116.85136,-200,45,-200,45,-200,45
111687500,-0.37760511,-116.92314,-200,45,-200,45,-200,45
111750000,-0.37905002,-116.99377,-200,45,-200,45,-200,45
111812500,-0.38051,-117.05463,-200,45,-200,45,-200,45
111875000,-0.38044834,-117.13279,-200,45,-200,45,-200,45
111937500,-0.38226312,-117.20408,-200,45,-200,45,-200,45
112000000,-0.38553602,-117.27303,-200,45,-200,45,-200,45
112062500,-0.38513041,-117.33656,-200,45,-200,45,-200,45
112125000,-0.38557521,-117.4073,-200,45,-200,45,-200,45
112187500,-0.38717511,-117.4761,-200,45,-200,45,-200,45
112250000,-0.38814685,-117.53249,-200,45,-200,45,-200,45
112312500,-0.38972512,-117.60857,-200,45,-200,45,-200,45
112375000,-0.3903107,-117.67188,-200,45,-200,45,-200,45
112437500,-0.39306825,-117.74699,-200,45,-200,45,-200,45
112500000,-0.39294752,-117.81478,-200,45,-200,45,-200,45
112562500,-0.39512396,-117.88859,-200,45,-200,45,-200,45
112625000,-0.39491737,-117.95241,-200,45,-200,45,-200,45
112687500,-0.39432538,-118.01975,-200,45,-200,45,-200,45
112750000,-0.39596778,-118.08949,-200,45,-200,45,-200,45
112812500,-0.39598739,-118.15367,-200,45,-200,45,-200,45
112875000,-0.39787939,-118.22253,-200,45,-200,45,-200,45
112937500,-0.3983373,-118.3074,-200,45,-200,45,-200,45
113000000,-0.40000477,-118.37495,-200,45,-200,45,-200,45
113062500,-0.39997301,-118.44454,-200,45,-200,45,-200,45
113125000,-0.40141124,-118.51502,-200,45,-200,45,-200,45
113187500,-0.40492952,-118.58323,-200,45,-200,45,-200,45
113250000,-0.40492216,-118.6657,-200,45,-200,45,-200,45
113312500,-0.40502983,-118.71668,-200,45,-200,45,-200,45
113375000,-0.40425846,-118.8076,-200,45,-200,45,-200,45
113437500,-0.40834546,-118.85391,-200,45,-200,45,-200,45
113500000,-0.40815765,-118.9323,-200,45,-200,45,-200,45
113562500,-0.40739673,-119.01005,-200,45,-200,45,-200,45
113625000,-0.40715787,-119.07381,-200,45,-200,45,-200,45
113687500,-0.41279835,-119.16222,-200,45,-200,45,-200,45
113750000,-0.41220805,-119.21446,-200,45,-200,45,-200,45
113812500,-0.41129902,-119.29424,-200,45,-200,45,-200,45
113875000,-0.41339672,-119.36134,-200,45,-200,45,-200,45
113937500,-0.41259244,-119.4259,-200,45,-200,45,-200,45
114000000,-0.41559529,-119.49454,-200,45,-200,45,-200,45
114062500,-0.41491744,-119.56242,-200,45,-200,45,-200,45
114125000,-0.41583356,-119.6391,-200,45,-200,45,-200,45
114187500,-0.41698453,-119.71144,-200,45,-200,45,-200,45
114250000,-0.41701931,-119.79919,-200,45,-200,45,-200,45
114312500,-0.41744697,-119.87019,-200,45,-200,45,-200,45
114375000,-0.41893759,-119.94299,-200,45,-200,45,-200,45
114437500,-0.42034742,-120.00948,-200,45,-200,45,-200,45
114500000,-0.42108595,-120.09321,-200,45,-200,45,-200,45
114562500,-0.42320359,-120.16827,-200,45,-200,45,-200,45
114625000,-0.4227035,-120.24728,-200,45,-200,45,-200,45
114687500,-0.42440322,-120.32187,-200,45,-200,45,-200,45
114750000,-0.42584985,-120.40421,-200,45,-200,45,-200,45
114812500,-0.42787433,-120.46884,-200,45,-200,45,-200,45
114875000,-0.42983907,-120.54277,-200,45,-200,45,-200,45
114937500,-0.42817485,-120.61449,-200,45,-200,45,-200,45
115000000,-0.4319672,-120.69669,-200,45,-200,45,-200,45
115062500,-0.43190539,-120.7725,-200,45,-200,45,-200,45
115125000,-0.4323929,-120.83356,-200,45,-200,45,-200,45
115187500,-0.43342999,-120.90311,-200,45,-200,45,-200,45
115250000,-0.43388364,-120.97463,-200,45,-200,45,-200,45
115312500,-0.43634495,-121.05765,-200,45,-200,45,-200,45
115375000,-0.43773717,-121.13498,-200,45,-200,45,-200,45
115437500,-0.43641448,-121.21384,-200,45,-200,45,-200,45
115500000,-0.43993104,-121.29334,-200,45,-200,45,-200,45
115562500,-0.4410992,-121.353,-200,45,-200,45,-200,45
115625000,-0.44102013,-121.44154,-200,45,-200,45,-200,45
115687500,-0.44273096,-121.51486,-200,45,-200,45,-200,45
115750000,-0.44364145,-121.58218,-200,45,-200,45,-200,45
115812500,-0.44451421,-121.64273,-200,45,-200,45,-200,45
115875000,-0.44353515,-121.74364,-200,45,-200,45,-200,45
115937500,-0.44776076,-121.82366,-200,45,-200,45,-200,45
116000000,-0.44792172,-121.88567,-200,45,-200,45,-200,45
