Freq,S11_MAG,S11_PHASE,S21_MAG,S21_PHASE,S12_MAG,S12_PHASE,22_MAG,S22_PHASE
100000000,-0.16545939,-103.70388,-200,45,-200,45,-200,45
100062500,-0.16359198,-103.77016,-200,45,-200,45,-200,45
100125000,-0.16576242,-103.83633,-200,45,-200,45,-200,45
100187500,-0.16621785,-103.88567,-200,45,-200,45,-200,45
100250000,-0.16501336,-103.94068,-200,45,-200,45,-200,45
100312500,-0.16688733,-104.01527,-200,45,-200,45,-200,45
100375000,-0.17029361,-104.06342,-200,45,-200,45,-200,45
100437500,-0.16748215,-104.12742,-200,45,-200,45,-200,45
100500000,-0.16998923,-104.18498,-200,45,-200,45,-200,45
100562500,-0.16871126,-104.24911,-200,45,-200,45,-200,45
100625000,-0.16819431,-104.31516,-200,45,-200,45,-200,45
100687500,-0.16962539,-104.3801,-200,45,-200,45,-200,45
100750000,-0.17112276,-104.43438,-200,45,-200,45,-200,45
100812500,-0.17044096,-104.513,-200,45,-200,45,-200,45
100875000,-0.16927347,-104.56088,-200,45,-200,45,-200,45
100937500,-0.17054099,-104.61235,-200,45,-200,45,-200,45
101000000,-0.16973472,-104.679,-200,45,-200,45,-200,45
101062500,-0.17051236,-104.73705,-200,45,-200,45,-200,45
101125000,-0.17013505,-104.80116,-200,45,-200,45,-200,45
101187500,-0.17285049,-104.8641,-200,45,-200,45,-200,45
101250000,-0.17303745,-104.9229,-200,45,-200,45,-200,45
101312500,-0.17120163,-104.9787,-200,45,-200,45,-200,45
101375000,-0.17120092,-105.04999,-200,45,-200,45,-200,45
101437500,-0.17200606,-105.10381,-200,45,-200,45,-200,45
101500000,-0.17460895,-105.17075,-200,45,-200,45,-200,45
101562500,-0.17266445,-105.22409,-200,45,-200,45,-200,45
101625000,-0.17315371,-105.29269,-200,45,-200,45,-200,45
101687500,-0.17457132,-105.35137,-200,45,-200,45,-200,45
101750000,-0.17367885,-105.41044,-200,45,-200,45,-200,45
101812500,-0.17482236,-105.47895,-200,45,-200,45,-200,45
101875000,-0.17422536,-105.53751,-200,45,-200,45,-200,45
101937500,-0.17625502,-105.59864,-200,45,-200,45,-200,45
102000000,-0.175455,-105.67094,-200,45,-200,45,-200,45
102062500,-0.17618486,-105.71322,-200,45,-200,45,-200,45
102125000,-0.17596459,-105.76904,-200,45,-200,45,-200,45
102187500,-0.17735589,-105.8374,-200,45,-200,45,-200,45
102250000,-0.17654653,-105.89034,-200,45,-200,45,-200,45
102312500,-0.1790099,-105.96538,-200,45,-200,45,-200,45
102375000,-0.17833427,-106.01514,-200,45,-200,45,-200,45
102437500,-0.17669538,-106.07999,-200,45,-200,45,-200,45
102500000,-0.17794634,-106.16056,-200,45,-200,45,-200,45
102562500,-0.17898081,-106.20509,-200,45,-200,45,-200,45
102625000,-0.17951715,-106.27966,-200,45,-200,45,-200,45
102687500,-0.17996126,-106.32725,-200,45,-200,45,-200,45
102750000,-0.18006681,-106.39499,-200,45,-200,45,-200,45
102812500,-0.18044421,-106.45529,-200,45,-200,45,-200,45
102875000,-0.180466,-106.52539,-200,45,-200,45,-200,45
102937500,-0.18076929,-106.59105,-200,45,-200,45,-200,45
103000000,-0.18307965,-106.64215,-200,45,-200,45,-200,45
103062500,-0.18338859,-106.70306,-200,45,-200,45,-200,45
103125000,-0.1835974,-106.77055,-200,45,-200,45,-200,45
