Freq,S11_MAG,S11_PHASE,S21_MAG,S21_PHASE,S12_MAG,S12_PHASE,22_MAG,S22_PHASE
100000000,-0.1704094,-103.39442,-200,45,-200,45,-200,45
100062500,-0.17105044,-103.45695,-200,45,-200,45,-200,45
100125000,-0.17241266,-103.52966,-200,45,-200,45,-200,45
100187500,-0.17187548,-103.57687,-200,45,-200,45,-200,45
100250000,-0.17179772,-103.61682,-200,45,-200,45,-200,45
100312500,-0.17430729,-103.68954,-200,45,-200,45,-200,45
100375000,-0.17655976,-103.75029,-200,45,-200,45,-200,45
100437500,-0.17547429,-103.81466,-200,45,-200,45,-200,45
100500000,-0.17524184,-103.87275,-200,45,-200,45,-200,45
100562500,-0.17740288,-103.93756,-200,45,-200,45,-200,45
100625000,-0.1764652,-103.99606,-200,45,-200,45,-200,45
100687500,-0.17686801,-104.06458,-200,45,-200,45,-200,45
100750000,-0.17824075,-104.10724,-200,45,-200,45,-200,45
100812500,-0.17825171,-104.18761,-200,45,-200,45,-200,45
100875000,-0.17892085,-104.2345,-200,45,-200,45,-200,45
100937500,-0.17855598,-104.28946,-200,45,-200,45,-200,45
101000000,-0.17929512,-104.35454,-200,45,-200,45,-200,45
101062500,-0.17975993,-104.41064,-200,45,-200,45,-200,45
101125000,-0.18028878,-104.46242,-200,45,-200,45,-200,45
101187500,-0.18300635,-104.52478,-200,45,-200,45,-200,45
101250000,-0.18239018,-104.57806,-200,45,-200,45,-200,45
101312500,-0.18251702,-104.637,-200,45,-200,45,-200,45
101375000,-0.18374914,-104.70023,-200,45,-200,45,-200,45
101437500,-0.18277182,-104.75538,-200,45,-200,45,-200,45
101500000,-0.18615147,-104.80817,-200,45,-200,45,-200,45
101562500,-0.18250637,-104.86379,-200,45,-200,45,-200,45
101625000,-0.18307072,-104.93834,-200,45,-200,45,-200,45
101687500,-0.18377732,-104.98457,-200,45,-200,45,-200,45
101750000,-0.1837849,-105.04177,-200,45,-200,45,-200,45
101812500,-0.18487659,-105.10376,-200,45,-200,45,-200,45
101875000,-0.18300518,-105.16515,-200,45,-200,45,-200,45
101937500,-0.18566912,-105.22055,-200,45,-200,45,-200,45
102000000,-0.18295951,-105.29748,-200,45,-200,45,-200,45
102062500,-0.18368264,-105.34615,-200,45,-200,45,-200,45
102125000,-0.18451852,-105.39626,-200,45,-200,45,-200,45
102187500,-0.18321872,-105.47329,-200,45,-200,45,-200,45
102250000,-0.18340258,-105.51543,-200,45,-200,45,-200,45
102312500,-0.18408574,-105.58698,-200,45,-200,45,-200,45
102375000,-0.18399206,-105.63768,-200,45,-200,45,-200,45
102437500,-0.18289499,-105.70877,-200,45,-200,45,-200,45
102500000,-0.18357624,-105.78677,-200,45,-200,45,-200,45
102562500,-0.1847512,-105.84042,-200,45,-200,45,-200,45
102625000,-0.18341438,-105.90428,-200,45,-200,45,-200,45
102687500,-0.18376508,-105.95687,-200,45,-200,45,-200,45
102750000,-0.18500879,-106.01909,-200,45,-200,45,-200,45
102812500,-0.18442692,-106.09357,-200,45,-200,45,-200,45
102875000,-0.18520148,-106.15334,-200,45,-200,45,-200,45
102937500,-0.18582904,-106.22151,-200,45,-200,45,-200,45
103000000,-0.18711817,-106.2696,-200,45,-200,45,-200,45
103062500,-0.18851639,-106.34069,-200,45,-200,45,-200,45
103125000,-0.18674664,-106.40577,-200,45,-200,45,-200,45
103187500,-0.18666755,-106.4718,-200,45,-200,45,-200,45
103250000,-0.18727569,-106.515,-200,45,-200,45,-200,45
103312500,-0.18758924,-106.59536,-200,45,-200,45,-200,45
103375000,-0.18679737,-106.6572,-200,45,-200,45,-200,45
103437500,-0.18568681,-106.71621,-200,45,-200,45,-200,45
